date,currency,code,nominal,price
2023-01-19,Дирхам ОАЭ,AED,1,18.7511
2023-01-20,Дирхам ОАЭ,AED,1,18.744
2023-01-21,Дирхам ОАЭ,AED,1,18.6952
2023-01-24,Дирхам ОАЭ,AED,1,18.6847
2023-01-25,Дирхам ОАЭ,AED,1,18.7185
2023-01-26,Дирхам ОАЭ,AED,1,18.7741
2023-01-27,Дирхам ОАЭ,AED,1,18.8201
2023-01-28,Дирхам ОАЭ,AED,1,18.8775
2023-01-31,Дирхам ОАЭ,AED,1,18.9471
2023-02-01,Дирхам ОАЭ,AED,1,19.1989
2023-02-02,Дирхам ОАЭ,AED,1,19.0911
2023-02-03,Дирхам ОАЭ,AED,1,19.0693
2023-02-04,Дирхам ОАЭ,AED,1,19.1627
2023-02-07,Дирхам ОАЭ,AED,1,19.2211
2023-02-08,Дирхам ОАЭ,AED,1,19.301
2023-02-09,Дирхам ОАЭ,AED,1,19.4871
2023-02-10,Дирхам ОАЭ,AED,1,19.8461
2023-02-11,Дирхам ОАЭ,AED,1,19.8182
2023-02-14,Дирхам ОАЭ,AED,1,20.0465
2023-02-15,Дирхам ОАЭ,AED,1,20.1101
2023-02-16,Дирхам ОАЭ,AED,1,20.2036
2023-02-17,Дирхам ОАЭ,AED,1,20.3555
2023-02-18,Дирхам ОАЭ,AED,1,20.3536
2023-02-21,Дирхам ОАЭ,AED,1,20.1588
2023-02-22,Дирхам ОАЭ,AED,1,20.3811
2023-02-23,Дирхам ОАЭ,AED,1,20.34
2023-02-28,Дирхам ОАЭ,AED,1,20.5375
2023-03-01,Дирхам ОАЭ,AED,1,20.3908
2023-03-02,Дирхам ОАЭ,AED,1,20.4877
2023-03-03,Дирхам ОАЭ,AED,1,20.548
2023-03-04,Дирхам ОАЭ,AED,1,20.5449
2023-03-07,Дирхам ОАЭ,AED,1,20.5486
2023-03-08,Дирхам ОАЭ,AED,1,20.5444
2023-03-10,Дирхам ОАЭ,AED,1,20.6656
2023-03-11,Дирхам ОАЭ,AED,1,20.677
2023-03-14,Дирхам ОАЭ,AED,1,20.5464
2023-03-15,Дирхам ОАЭ,AED,1,20.4729
2023-03-16,Дирхам ОАЭ,AED,1,20.6234
2023-03-17,Дирхам ОАЭ,AED,1,20.8047
2023-03-18,Дирхам ОАЭ,AED,1,20.8572
2023-03-21,Дирхам ОАЭ,AED,1,21.0303
2023-03-22,Дирхам ОАЭ,AED,1,20.9212
2023-03-23,Дирхам ОАЭ,AED,1,20.9541
2023-03-24,Дирхам ОАЭ,AED,1,20.778
2023-03-25,Дирхам ОАЭ,AED,1,20.8157
2023-03-28,Дирхам ОАЭ,AED,1,20.8485
2023-03-29,Дирхам ОАЭ,AED,1,20.8561
2023-03-30,Дирхам ОАЭ,AED,1,20.9595
2023-03-31,Дирхам ОАЭ,AED,1,20.9884
2023-04-01,Дирхам ОАЭ,AED,1,21.053
2023-04-04,Дирхам ОАЭ,AED,1,21.2244
2023-04-05,Дирхам ОАЭ,AED,1,21.6071
2023-04-06,Дирхам ОАЭ,AED,1,21.6457
2023-04-07,Дирхам ОАЭ,AED,1,21.9651
2023-04-08,Дирхам ОАЭ,AED,1,22.4355
2023-04-11,Дирхам ОАЭ,AED,1,22.2572
2023-04-12,Дирхам ОАЭ,AED,1,22.3771
