date,currency,code,nominal,price
2020-05-21,Китайский юань,CNY,1,10.1791
2020-05-22,Китайский юань,CNY,10,99.8916
2020-05-23,Китайский юань,CNY,1,10.0636
2020-05-26,Китайский юань,CNY,1,10.028
2020-05-27,Китайский юань,CNY,10,99.6942
2020-05-28,Китайский юань,CNY,10,99.3312
2020-05-29,Китайский юань,CNY,10,99.3089
2020-05-30,Китайский юань,CNY,10,99.0079
2020-06-02,Китайский юань,CNY,10,97.7322
2020-06-03,Китайский юань,CNY,10,97.0117
2020-06-04,Китайский юань,CNY,10,96.1038
2020-06-05,Китайский юань,CNY,10,96.9068
2020-06-06,Китайский юань,CNY,10,96.8447
2020-06-09,Китайский юань,CNY,10,96.549
2020-06-10,Китайский юань,CNY,10,96.8802
2020-06-11,Китайский юань,CNY,10,97.1023
2020-06-12,Китайский юань,CNY,10,97.7624
2020-06-16,Китайский юань,CNY,10,99.2248
2020-06-17,Китайский юань,CNY,10,98.4911
2020-06-18,Китайский юань,CNY,10,98.0639
2020-06-19,Китайский юань,CNY,10,98.3166
2020-06-20,Китайский юань,CNY,10,98.2898
2020-06-23,Китайский юань,CNY,10,98.178
2020-06-24,Китайский юань,CNY,10,97.4292
2020-06-25,Китайский юань,CNY,10,97.3025
2020-06-26,Китайский юань,CNY,10,98.1408
2020-06-27,Китайский юань,CNY,10,97.6638
2020-06-30,Китайский юань,CNY,10,98.8278
2020-07-01,Китайский юань,CNY,10,99.5806
2020-07-02,Китайский юань,CNY,10,99.7568
2020-07-03,Китайский юань,CNY,10,99.8016
2020-07-04,Китайский юань,CNY,10,99.7522
2020-07-07,Китайский юань,CNY,1,10.1424
2020-07-08,Китайский юань,CNY,1,10.2742
2020-07-09,Китайский юань,CNY,1,10.1505
2020-07-10,Китайский юань,CNY,1,10.1451
2020-07-11,Китайский юань,CNY,1,10.1664
2020-07-14,Китайский юань,CNY,1,10.1016
2020-07-15,Китайский юань,CNY,1,10.1334
2020-07-16,Китайский юань,CNY,1,10.1292
2020-07-17,Китайский юань,CNY,1,10.1789
2020-07-18,Китайский юань,CNY,1,10.2443
2020-07-21,Китайский юань,CNY,1,10.295
2020-07-22,Китайский юань,CNY,1,10.1475
2020-07-23,Китайский юань,CNY,1,10.1055
2020-07-24,Китайский юань,CNY,1,10.1424
2020-07-25,Китайский юань,CNY,1,10.2033
2020-07-28,Китайский юань,CNY,1,10.2244
2020-07-29,Китайский юань,CNY,1,10.2631
2020-07-30,Китайский юань,CNY,1,10.3191
2020-07-31,Китайский юань,CNY,1,10.4724
2020-08-01,Китайский юань,CNY,1,10.5204
2020-08-04,Китайский юань,CNY,1,10.6278
2020-08-05,Китайский юань,CNY,1,10.5091
2020-08-06,Китайский юань,CNY,1,10.5396
2020-08-07,Китайский юань,CNY,1,10.5176
2020-08-08,Китайский юань,CNY,1,10.5798
2020-08-11,Китайский юань,CNY,1,10.5848
2020-08-12,Китайский юань,CNY,1,10.5234
2020-08-13,Китайский юань,CNY,1,10.5439
2020-08-14,Китайский юань,CNY,1,10.5994
2020-08-15,Китайский юань,CNY,1,10.534
2020-08-18,Китайский юань,CNY,1,10.511
2020-08-19,Китайский юань,CNY,1,10.6024
2020-08-20,Китайский юань,CNY,1,10.5982
2020-08-21,Китайский юань,CNY,1,10.657
2020-08-22,Китайский юань,CNY,1,10.7174
2020-08-25,Китайский юань,CNY,1,10.7661
2020-08-26,Китайский юань,CNY,1,10.7808
2020-08-27,Китайский юань,CNY,1,10.9601
2020-08-28,Китайский юань,CNY,1,10.9355
2020-08-29,Китайский юань,CNY,1,10.8713
2020-09-01,Китайский юань,CNY,1,10.7682
2020-09-02,Китайский юань,CNY,1,10.7842
2020-09-03,Китайский юань,CNY,1,10.8205
2020-09-04,Китайский юань,CNY,1,11.0401
2020-09-05,Китайский юань,CNY,1,10.9922
2020-09-08,Китайский юань,CNY,1,11.0664
2020-09-09,Китайский юань,CNY,1,11.1183
2020-09-10,Китайский юань,CNY,1,11.1118
2020-09-11,Китайский юань,CNY,1,11.0427
2020-09-12,Китайский юань,CNY,1,10.9544
2020-09-15,Китайский юань,CNY,1,10.9498
2020-09-16,Китайский юань,CNY,1,11.0928
2020-09-17,Китайский юань,CNY,1,11.0812
2020-09-18,Китайский юань,CNY,1,11.113
2020-09-19,Китайский юань,CNY,1,11.1007
2020-09-22,Китайский юань,CNY,1,11.2268
2020-09-23,Китайский юань,CNY,1,11.2348
2020-09-24,Китайский юань,CNY,1,11.2423
2020-09-25,Китайский юань,CNY,1,11.3091
2020-09-26,Китайский юань,CNY,1,11.265
2020-09-29,Китайский юань,CNY,1,11.5345
2020-09-30,Китайский юань,CNY,1,11.6798
2020-10-01,Китайский юань,CNY,1,11.5671
2020-10-02,Китайский юань,CNY,1,11.3797
2020-10-03,Китайский юань,CNY,1,11.4996
2020-10-06,Китайский юань,CNY,1,11.505
2020-10-07,Китайский юань,CNY,1,11.5615
2020-10-08,Китайский юань,CNY,1,11.4997
2020-10-09,Китайский юань,CNY,1,11.4737
2020-10-10,Китайский юань,CNY,1,11.4728
2020-10-13,Китайский юань,CNY,1,11.4304
2020-10-14,Китайский юань,CNY,1,11.4672
2020-10-15,Китайский юань,CNY,1,11.4675
2020-10-16,Китайский юань,CNY,1,11.5803
2020-10-17,Китайский юань,CNY,1,11.6398
2020-10-20,Китайский юань,CNY,1,11.6409
2020-10-21,Китайский юань,CNY,1,11.6424
2020-10-22,Китайский юань,CNY,1,11.57
2020-10-23,Китайский юань,CNY,1,11.5577
2020-10-24,Китайский юань,CNY,1,11.4662
2020-10-27,Китайский юань,CNY,1,11.411
2020-10-28,Китайский юань,CNY,1,11.3841
2020-10-29,Китайский юань,CNY,1,11.5515
2020-10-30,Китайский юань,CNY,1,11.7523
2020-10-31,Китайский юань,CNY,1,11.8403
2020-11-03,Китайский юань,CNY,1,12.0259
2020-11-04,Китайский юань,CNY,1,11.9623
2020-11-06,Китайский юань,CNY,1,11.8146
2020-11-07,Китайский юань,CNY,1,11.6589
2020-11-10,Китайский юань,CNY,1,11.711
2020-11-11,Китайский юань,CNY,1,11.5689
2020-11-12,Китайский юань,CNY,1,11.5124
2020-11-13,Китайский юань,CNY,1,11.6307
2020-11-14,Китайский юань,CNY,1,11.6893
2020-11-17,Китайский юань,CNY,1,11.6937
2020-11-18,Китайский юань,CNY,1,11.6269
2020-11-19,Китайский юань,CNY,1,11.6037
2020-11-20,Китайский юань,CNY,1,11.5807
2020-11-21,Китайский юань,CNY,1,11.566
2020-11-24,Китайский юань,CNY,1,11.5326
2020-11-25,Китайский юань,CNY,1,11.5257
2020-11-26,Китайский юань,CNY,1,11.4714
2020-11-27,Китайский юань,CNY,1,11.4803
2020-11-28,Китайский юань,CNY,1,11.5245
2020-12-01,Китайский юань,CNY,1,11.5754
2020-12-02,Китайский юань,CNY,1,11.6138
2020-12-03,Китайский юань,CNY,1,11.513
2020-12-04,Китайский юань,CNY,1,11.4651
2020-12-05,Китайский юань,CNY,1,11.3698
2020-12-08,Китайский юань,CNY,1,11.3566
2020-12-09,Китайский юань,CNY,1,11.2752
2020-12-10,Китайский юань,CNY,1,11.2126
2020-12-11,Китайский юань,CNY,1,11.2578
2020-12-12,Китайский юань,CNY,1,11.1778
2020-12-15,Китайский юань,CNY,1,11.1557
2020-12-16,Китайский юань,CNY,1,11.2219
2020-12-17,Китайский юань,CNY,1,11.231
2020-12-18,Китайский юань,CNY,1,11.1693
2020-12-19,Китайский юань,CNY,1,11.2069
2020-12-22,Китайский юань,CNY,1,11.4015
2020-12-23,Китайский юань,CNY,1,11.5075
2020-12-24,Китайский юань,CNY,1,11.541
2020-12-25,Китайский юань,CNY,1,11.4582
2020-12-26,Китайский юань,CNY,1,11.2973
2020-12-29,Китайский юань,CNY,1,11.2742
2020-12-30,Китайский юань,CNY,1,11.2787
2020-12-31,Китайский юань,CNY,1,11.3119
2021-01-01,Китайский юань,CNY,1,11.2956
2021-01-12,Китайский юань,CNY,1,11.5082
2021-01-13,Китайский юань,CNY,1,11.483
2021-01-14,Китайский юань,CNY,1,11.3728
2021-01-15,Китайский юань,CNY,1,11.4089
2021-01-16,Китайский юань,CNY,1,11.3569
2021-01-19,Китайский юань,CNY,1,11.3907
2021-01-20,Китайский юань,CNY,1,11.3628
2021-01-21,Китайский юань,CNY,1,11.3416
2021-01-22,Китайский юань,CNY,1,11.3496
2021-01-23,Китайский юань,CNY,1,11.4789
2021-01-26,Китайский юань,CNY,1,11.5575
2021-01-27,Китайский юань,CNY,1,11.6797
2021-01-28,Китайский юань,CNY,1,11.6044
2021-01-29,Китайский юань,CNY,1,11.7637
2021-01-30,Китайский юань,CNY,1,11.8024
2021-02-02,Китайский юань,CNY,1,11.6787
2021-02-03,Китайский юань,CNY,1,11.7498
2021-02-04,Китайский юань,CNY,1,11.7813
2021-02-05,Китайский юань,CNY,1,11.7165
2021-02-06,Китайский юань,CNY,1,11.5919
2021-02-09,Китайский юань,CNY,1,11.4981
2021-02-10,Китайский юань,CNY,1,11.4935
2021-02-11,Китайский юань,CNY,1,11.4712
2021-02-12,Китайский юань,CNY,1,11.4208
2021-02-13,Китайский юань,CNY,1,11.4487
2021-02-16,Китайский юань,CNY,1,11.3513
2021-02-17,Китайский юань,CNY,1,11.3483
2021-02-18,Китайский юань,CNY,1,11.4222
2021-02-19,Китайский юань,CNY,1,11.4004
2021-02-20,Китайский юань,CNY,1,11.4523
2021-02-21,Китайский юань,CNY,1,11.4566
2021-02-25,Китайский юань,CNY,1,11.4304
2021-02-26,Китайский юань,CNY,1,11.3911
2021-02-27,Китайский юань,CNY,1,11.5232
2021-03-02,Китайский юань,CNY,1,11.4599
2021-03-03,Китайский юань,CNY,1,11.5271
2021-03-04,Китайский юань,CNY,1,11.3771
2021-03-05,Китайский юань,CNY,1,11.4074
2021-03-06,Китайский юань,CNY,1,11.4909
2021-03-10,Китайский юань,CNY,1,11.3935
2021-03-11,Китайский юань,CNY,1,11.3691
2021-03-12,Китайский юань,CNY,1,11.32
2021-03-13,Китайский юань,CNY,1,11.3015
2021-03-16,Китайский юань,CNY,1,11.2612
2021-03-17,Китайский юань,CNY,1,11.2253
2021-03-18,Китайский юань,CNY,1,11.2413
2021-03-19,Китайский юань,CNY,1,11.3282
2021-03-20,Китайский юань,CNY,1,11.3988
2021-03-23,Китайский юань,CNY,1,11.4599
2021-03-24,Китайский юань,CNY,1,11.5756
2021-03-25,Китайский юань,CNY,1,11.6737
2021-03-26,Китайский юань,CNY,1,11.6578
2021-03-27,Китайский юань,CNY,1,11.583
2021-03-30,Китайский юань,CNY,1,11.5536
2021-03-31,Китайский юань,CNY,1,11.5268
2021-04-01,Китайский юань,CNY,1,11.5385
2021-04-02,Китайский юань,CNY,1,11.5328
2021-04-03,Китайский юань,CNY,1,11.595
2021-04-06,Китайский юань,CNY,1,11.665
2021-04-07,Китайский юань,CNY,1,11.6606
2021-04-08,Китайский юань,CNY,1,11.8814
2021-04-09,Китайский юань,CNY,1,11.7728
2021-04-10,Китайский юань,CNY,1,11.7647
2021-04-13,Китайский юань,CNY,1,11.8308
2021-04-14,Китайский юань,CNY,1,11.7969
2021-04-15,Китайский юань,CNY,1,11.5832
2021-04-16,Китайский юань,CNY,1,11.7834
2021-04-17,Китайский юань,CNY,1,11.5833
2021-04-20,Китайский юань,CNY,1,11.7106
2021-04-21,Китайский юань,CNY,1,11.7023
2021-04-22,Китайский юань,CNY,1,11.8264
2021-04-23,Китайский юань,CNY,1,11.7764
2021-04-24,Китайский юань,CNY,1,11.5627
2021-04-27,Китайский юань,CNY,1,11.524
2021-04-28,Китайский юань,CNY,1,11.5569
2021-04-29,Китайский юань,CNY,1,11.5559
2021-04-30,Китайский юань,CNY,1,11.5036
2021-05-01,Китайский юань,CNY,1,11.5657
2021-05-05,Китайский юань,CNY,1,11.6253
2021-05-06,Китайский юань,CNY,1,11.5643
2021-05-07,Китайский юань,CNY,1,11.5196
2021-05-08,Китайский юань,CNY,1,11.478
2021-05-12,Китайский юань,CNY,1,11.5381
2021-05-13,Китайский юань,CNY,1,11.4933
2021-05-14,Китайский юань,CNY,1,11.5198
2021-05-15,Китайский юань,CNY,1,11.4989
2021-05-18,Китайский юань,CNY,1,11.4639
2021-05-19,Китайский юань,CNY,1,11.4714
2021-05-20,Китайский юань,CNY,1,11.4449
2021-05-21,Китайский юань,CNY,1,11.4356
2021-05-22,Китайский юань,CNY,1,11.4358
2021-05-25,Китайский юань,CNY,1,11.4353
2021-05-26,Китайский юань,CNY,1,11.453
2021-05-27,Китайский юань,CNY,1,11.4882
2021-05-28,Китайский юань,CNY,1,11.5208
2021-05-29,Китайский юань,CNY,1,11.5594
2021-06-01,Китайский юань,CNY,1,11.5219
2021-06-02,Китайский юань,CNY,1,11.4865
2021-06-03,Китайский юань,CNY,1,11.5074
2021-06-04,Китайский юань,CNY,1,11.4589
2021-06-05,Китайский юань,CNY,1,11.4318
2021-06-08,Китайский юань,CNY,1,11.4018
2021-06-09,Китайский юань,CNY,1,11.3831
2021-06-10,Китайский юань,CNY,1,11.2779
2021-06-11,Китайский юань,CNY,1,11.2976
2021-06-12,Китайский юань,CNY,1,11.2159
2021-06-16,Китайский юань,CNY,1,11.2192
2021-06-17,Китайский юань,CNY,1,11.2589
2021-06-18,Китайский юань,CNY,1,11.279
2021-06-19,Китайский юань,CNY,1,11.2126
2021-06-22,Китайский юань,CNY,1,11.313
2021-06-23,Китайский юань,CNY,1,11.3024
2021-06-24,Китайский юань,CNY,1,11.2134
2021-06-25,Китайский юань,CNY,1,11.1733
2021-06-26,Китайский юань,CNY,1,11.1806
2021-06-29,Китайский юань,CNY,1,11.1786
2021-06-30,Китайский юань,CNY,1,11.207
2021-07-01,Китайский юань,CNY,1,11.2545
2021-07-02,Китайский юань,CNY,1,11.2787
2021-07-03,Китайский юань,CNY,1,11.3567
2021-07-06,Китайский юань,CNY,1,11.3535
2021-07-07,Китайский юань,CNY,1,11.3362
2021-07-08,Китайский юань,CNY,1,11.4575
2021-07-09,Китайский юань,CNY,1,11.6019
2021-07-10,Китайский юань,CNY,1,11.483
2021-07-13,Китайский юань,CNY,1,11.5307
2021-07-14,Китайский юань,CNY,1,11.4552
2021-07-15,Китайский юань,CNY,1,11.4519
2021-07-16,Китайский юань,CNY,1,11.4859
2021-07-17,Китайский юань,CNY,1,11.4673
2021-07-20,Китайский юань,CNY,1,11.4674
2021-07-21,Китайский юань,CNY,1,11.4959
2021-07-22,Китайский юань,CNY,1,11.5057
2021-07-23,Китайский юань,CNY,1,11.3967
2021-07-24,Китайский юань,CNY,1,11.39
2021-07-27,Китайский юань,CNY,1,11.4292
2021-07-28,Китайский юань,CNY,1,11.3527
2021-07-29,Китайский юань,CNY,1,11.3189
2021-07-30,Китайский юань,CNY,1,11.3249
2021-07-31,Китайский юань,CNY,1,11.329
2021-08-03,Китайский юань,CNY,1,11.301
2021-08-04,Китайский юань,CNY,1,11.2717
2021-08-05,Китайский юань,CNY,1,11.2631
2021-08-06,Китайский юань,CNY,1,11.324
2021-08-07,Китайский юань,CNY,1,11.3061
2021-08-10,Китайский юань,CNY,1,11.3473
2021-08-11,Китайский юань,CNY,1,11.3555
2021-08-12,Китайский юань,CNY,1,11.4026
2021-08-13,Китайский юань,CNY,1,11.358
2021-08-14,Китайский юань,CNY,1,11.3329
2021-08-17,Китайский юань,CNY,1,11.3343
2021-08-18,Китайский юань,CNY,1,11.3388
2021-08-19,Китайский юань,CNY,1,11.3366
2021-08-20,Китайский юань,CNY,1,11.4195
2021-08-21,Китайский юань,CNY,1,11.4403
2021-08-24,Китайский юань,CNY,1,11.4119
2021-08-25,Китайский юань,CNY,1,11.4157
2021-08-26,Китайский юань,CNY,1,11.3899
2021-08-27,Китайский юань,CNY,1,11.4116
2021-08-28,Китайский юань,CNY,1,11.4177
2021-08-31,Китайский юань,CNY,1,11.378
2021-09-01,Китайский юань,CNY,1,11.3367
2021-09-02,Китайский юань,CNY,1,11.3211
2021-09-03,Китайский юань,CNY,1,11.2747
2021-09-04,Китайский юань,CNY,1,11.2837
2021-09-07,Китайский юань,CNY,1,11.304
2021-09-08,Китайский юань,CNY,1,11.3285
2021-09-09,Китайский юань,CNY,1,11.3651
2021-09-10,Китайский юань,CNY,1,11.3248
2021-09-11,Китайский юань,CNY,1,11.2957
2021-09-14,Китайский юань,CNY,1,11.323
2021-09-15,Китайский юань,CNY,1,11.2857
2021-09-16,Китайский юань,CNY,1,11.3198
2021-09-17,Китайский юань,CNY,1,11.2391
2021-09-18,Китайский юань,CNY,1,11.2456
2021-09-21,Китайский юань,CNY,1,11.3406
2021-09-22,Китайский юань,CNY,1,11.3213
2021-09-23,Китайский юань,CNY,1,11.267
2021-09-24,Китайский юань,CNY,1,11.2584
2021-09-25,Китайский юань,CNY,1,11.294
2021-09-28,Китайский юань,CNY,1,11.2449
2021-09-29,Китайский юань,CNY,1,11.2263
2021-09-30,Китайский юань,CNY,1,11.2494
2021-10-01,Китайский юань,CNY,1,11.2442
2021-10-02,Китайский юань,CNY,1,11.3114
2021-10-05,Китайский юань,CNY,1,11.3118
