date,currency,code,nominal,price
2020-05-21,Евро,EUR,1,79.1813
2020-05-22,Евро,EUR,1,77.7965
2020-05-23,Евро,EUR,1,78.4431
2020-05-26,Евро,EUR,1,77.8823
2020-05-27,Евро,EUR,1,77.7854
2020-05-28,Евро,EUR,1,77.9069
2020-05-29,Евро,EUR,1,78.2611
2020-05-30,Евро,EUR,1,78.5489
2020-06-02,Евро,EUR,1,77.6376
2020-06-03,Евро,EUR,1,76.7782
2020-06-04,Евро,EUR,1,76.6243
2020-06-05,Евро,EUR,1,77.3245
2020-06-06,Евро,EUR,1,77.9658
2020-06-09,Евро,EUR,1,77.1861
2020-06-10,Евро,EUR,1,77.3481
2020-06-11,Евро,EUR,1,77.9229
2020-06-12,Евро,EUR,1,78.5225
2020-06-16,Евро,EUR,1,79.1451
2020-06-17,Евро,EUR,1,79.0434
2020-06-18,Евро,EUR,1,78.3829
2020-06-19,Евро,EUR,1,78.2924
2020-06-20,Евро,EUR,1,78.0047
2020-06-23,Евро,EUR,1,77.8285
2020-06-24,Евро,EUR,1,77.6832
2020-06-25,Евро,EUR,1,77.759
2020-06-26,Евро,EUR,1,78.0589
2020-06-27,Евро,EUR,1,77.5413
2020-06-30,Евро,EUR,1,78.6812
2020-07-01,Евро,EUR,1,78.9929
2020-07-02,Евро,EUR,1,79.1901
2020-07-03,Евро,EUR,1,79.5181
2020-07-04,Евро,EUR,1,79.2207
2020-07-07,Евро,EUR,1,80.5581
2020-07-08,Евро,EUR,1,81.4676
2020-07-09,Евро,EUR,1,80.4062
2020-07-10,Евро,EUR,1,80.4134
2020-07-11,Евро,EUR,1,80.2689
2020-07-14,Евро,EUR,1,80.0937
2020-07-15,Евро,EUR,1,80.623
2020-07-16,Евро,EUR,1,80.8392
2020-07-17,Евро,EUR,1,81.2318
2020-07-18,Евро,EUR,1,81.6821
2020-07-21,Евро,EUR,1,82.3902
2020-07-22,Евро,EUR,1,81.2499
2020-07-23,Евро,EUR,1,81.5904
2020-07-24,Евро,EUR,1,82.1893
2020-07-25,Евро,EUR,1,83.1031
2020-07-28,Евро,EUR,1,83.7759
2020-07-29,Евро,EUR,1,84.261
2020-07-30,Евро,EUR,1,84.912
2020-07-31,Евро,EUR,1,86.2532
2020-08-01,Евро,EUR,1,87.2889
2020-08-04,Евро,EUR,1,87.2253
2020-08-05,Евро,EUR,1,86.5011
2020-08-06,Евро,EUR,1,86.625
2020-08-07,Евро,EUR,1,86.6178
2020-08-08,Евро,EUR,1,87.1722
2020-08-11,Евро,EUR,1,86.8258
2020-08-12,Евро,EUR,1,85.9246
2020-08-13,Евро,EUR,1,85.956
2020-08-14,Евро,EUR,1,87.0399
2020-08-15,Евро,EUR,1,86.4092
2020-08-18,Евро,EUR,1,86.4666
2020-08-19,Евро,EUR,1,87.3401
2020-08-20,Евро,EUR,1,87.4037
2020-08-21,Евро,EUR,1,87.4261
2020-08-22,Евро,EUR,1,87.7343
2020-08-25,Евро,EUR,1,87.903
2020-08-26,Евро,EUR,1,88.059
2020-08-27,Евро,EUR,1,89.2254
2020-08-28,Евро,EUR,1,88.996
2020-08-29,Евро,EUR,1,88.7448
2020-09-01,Евро,EUR,1,87.8266
2020-09-02,Евро,EUR,1,88.1547
2020-09-03,Евро,EUR,1,87.7369
2020-09-04,Евро,EUR,1,89.1353
2020-09-05,Евро,EUR,1,89.0384
2020-09-08,Евро,EUR,1,89.4771
2020-09-09,Евро,EUR,1,89.7369
2020-09-10,Евро,EUR,1,89.5663
2020-09-11,Евро,EUR,1,89.3036
2020-09-12,Евро,EUR,1,88.6768
2020-09-15,Евро,EUR,1,88.5819
2020-09-16,Евро,EUR,1,89.3614
2020-09-17,Евро,EUR,1,88.8644
2020-09-18,Евро,EUR,1,88.6313
2020-09-19,Евро,EUR,1,88.9578
2020-09-22,Евро,EUR,1,90.0063
2020-09-23,Евро,EUR,1,89.4813
2020-09-24,Евро,EUR,1,89.2508
2020-09-25,Евро,EUR,1,89.9818
2020-09-26,Евро,EUR,1,89.6637
2020-09-29,Евро,EUR,1,91.479
2020-09-30,Евро,EUR,1,93.0237
2020-10-01,Евро,EUR,1,92.4302
2020-10-02,Евро,EUR,1,90.7237
2020-10-03,Евро,EUR,1,91.5779
2020-10-06,Евро,EUR,1,91.6599
2020-10-07,Евро,EUR,1,92.5184
2020-10-08,Евро,EUR,1,91.8129
2020-10-09,Евро,EUR,1,91.699
2020-10-10,Евро,EUR,1,90.7163
2020-10-13,Евро,EUR,1,91.0037
2020-10-14,Евро,EUR,1,91.0732
2020-10-15,Евро,EUR,1,90.7065
2020-10-16,Евро,EUR,1,91.4542
2020-10-17,Евро,EUR,1,91.3041
2020-10-20,Евро,EUR,1,91.3115
2020-10-21,Евро,EUR,1,91.5603
2020-10-22,Евро,EUR,1,91.3448
2020-10-23,Евро,EUR,1,91.3563
2020-10-24,Евро,EUR,1,90.4142
2020-10-27,Евро,EUR,1,90.4489
2020-10-28,Евро,EUR,1,90.3552
2020-10-29,Евро,EUR,1,91.2632
2020-10-30,Евро,EUR,1,92.6011
2020-10-31,Евро,EUR,1,92.6284
2020-11-03,Евро,EUR,1,93.757
2020-11-04,Евро,EUR,1,93.3447
2020-11-06,Евро,EUR,1,92.1229
2020-11-07,Евро,EUR,1,91.3514
2020-11-10,Евро,EUR,1,91.4953
2020-11-11,Евро,EUR,1,90.3557
2020-11-12,Евро,EUR,1,90.0468
2020-11-13,Евро,EUR,1,90.8104
2020-11-14,Евро,EUR,1,91.3222
2020-11-17,Евро,EUR,1,91.1729
2020-11-18,Евро,EUR,1,90.3903
2020-11-19,Евро,EUR,1,90.2314
2020-11-20,Евро,EUR,1,90.3484
2020-11-21,Евро,EUR,1,90.2643
2020-11-24,Евро,EUR,1,89.9347
2020-11-25,Евро,EUR,1,89.8934
2020-11-26,Евро,EUR,1,89.888
2020-11-27,Евро,EUR,1,90.0291
2020-11-28,Евро,EUR,1,90.4629
2020-12-01,Евро,EUR,1,91.2037
2020-12-02,Евро,EUR,1,91.3096
2020-12-03,Евро,EUR,1,91.3052
2020-12-04,Евро,EUR,1,91.1946
2020-12-05,Евро,EUR,1,90.2618
2020-12-08,Евро,EUR,1,89.9695
2020-12-09,Евро,EUR,1,89.2044
2020-12-10,Евро,EUR,1,88.9418
2020-12-11,Евро,EUR,1,89.133
2020-12-12,Евро,EUR,1,88.7744
2020-12-15,Евро,EUR,1,88.5847
2020-12-16,Евро,EUR,1,89.1846
2020-12-17,Евро,EUR,1,89.3229
2020-12-18,Евро,EUR,1,89.2887
2020-12-19,Евро,EUR,1,89.8262
2020-12-22,Евро,EUR,1,91.0029
2020-12-23,Евро,EUR,1,92.0699
2020-12-24,Евро,EUR,1,91.9822
2020-12-25,Евро,EUR,1,91.3487
2020-12-26,Евро,EUR,1,89.8749
2020-12-29,Евро,EUR,1,90.127
2020-12-30,Евро,EUR,1,90.2074
2020-12-31,Евро,EUR,1,90.6824
2021-01-01,Евро,EUR,1,90.7932
2021-01-12,Евро,EUR,1,90.8123
2021-01-13,Евро,EUR,1,90.3227
2021-01-14,Евро,EUR,1,89.7831
2021-01-15,Евро,EUR,1,89.6475
2021-01-16,Евро,EUR,1,89.2546
2021-01-19,Евро,EUR,1,89.3304
2021-01-20,Евро,EUR,1,89.2064
2021-01-21,Евро,EUR,1,89.1483
2021-01-22,Евро,EUR,1,88.9677
2021-01-23,Евро,EUR,1,90.4087
2021-01-26,Евро,EUR,1,91.1458
2021-01-27,Евро,EUR,1,91.6701
2021-01-28,Евро,EUR,1,91.2186
2021-01-29,Евро,EUR,1,92.131
2021-01-30,Евро,EUR,1,92.2963
2021-02-02,Евро,EUR,1,91.5426
2021-02-03,Евро,EUR,1,91.625
2021-02-04,Евро,EUR,1,91.5624
2021-02-05,Евро,EUR,1,90.9206
2021-02-06,Евро,EUR,1,89.885
2021-02-09,Евро,EUR,1,89.4019
2021-02-10,Евро,EUR,1,89.5286
2021-02-11,Евро,EUR,1,89.5684
2021-02-12,Евро,EUR,1,89.4388
2021-02-13,Евро,EUR,1,89.6052
2021-02-16,Евро,EUR,1,88.9754
2021-02-17,Евро,EUR,1,88.9441
2021-02-18,Евро,EUR,1,89.0809
2021-02-19,Евро,EUR,1,88.87
2021-02-20,Евро,EUR,1,89.5427
2021-02-21,Евро,EUR,1,89.6604
2021-02-25,Евро,EUR,1,89.6691
2021-02-26,Евро,EUR,1,89.4995
2021-02-27,Евро,EUR,1,90.3743
2021-03-02,Евро,EUR,1,89.4461
2021-03-03,Евро,EUR,1,89.5652
2021-03-04,Евро,EUR,1,88.8768
2021-03-05,Евро,EUR,1,88.9421
2021-03-06,Евро,EUR,1,88.9334
2021-03-10,Евро,EUR,1,88.1736
2021-03-11,Евро,EUR,1,87.9587
2021-03-12,Евро,EUR,1,87.7585
2021-03-13,Евро,EUR,1,87.7981
2021-03-16,Евро,EUR,1,87.3508
2021-03-17,Евро,EUR,1,86.9852
2021-03-18,Евро,EUR,1,86.9693
2021-03-19,Евро,EUR,1,88.1173
2021-03-20,Евро,EUR,1,88.433
2021-03-23,Евро,EUR,1,88.6573
2021-03-24,Евро,EUR,1,89.767
2021-03-25,Евро,EUR,1,90.0515
2021-03-26,Евро,EUR,1,89.9768
2021-03-27,Евро,EUR,1,89.2576
2021-03-30,Евро,EUR,1,89.349
2021-03-31,Евро,EUR,1,88.8821
2021-04-01,Евро,EUR,1,88.7452
2021-04-02,Евро,EUR,1,88.9523
2021-04-03,Евро,EUR,1,89.5916
2021-04-06,Евро,EUR,1,89.9958
2021-04-07,Евро,EUR,1,90.1821
2021-04-08,Евро,EUR,1,92.3321
2021-04-09,Евро,EUR,1,91.6192
2021-04-10,Евро,EUR,1,91.7809
2021-04-13,Евро,EUR,1,92.0669
2021-04-14,Евро,EUR,1,91.9162
2021-04-15,Евро,EUR,1,90.5391
2021-04-16,Евро,EUR,1,92.2307
2021-04-17,Евро,EUR,1,90.4602
2021-04-20,Евро,EUR,1,91.476
2021-04-21,Евро,EUR,1,91.7507
2021-04-22,Евро,EUR,1,92.2913
2021-04-23,Евро,EUR,1,92.0423
2021-04-24,Евро,EUR,1,90.4676
2021-04-27,Евро,EUR,1,90.4468
2021-04-28,Евро,EUR,1,90.4666
2021-04-29,Евро,EUR,1,90.4289
2021-04-30,Евро,EUR,1,90.1513
2021-05-01,Евро,EUR,1,90.585
2021-05-05,Евро,EUR,1,90.451
2021-05-06,Евро,EUR,1,89.7742
2021-05-07,Евро,EUR,1,89.6788
2021-05-08,Евро,EUR,1,89.506
2021-05-12,Евро,EUR,1,90.004
2021-05-13,Евро,EUR,1,89.8475
2021-05-14,Евро,EUR,1,89.9343
2021-05-15,Евро,EUR,1,89.6249
2021-05-18,Евро,EUR,1,89.6584
2021-05-19,Евро,EUR,1,89.9057
2021-05-20,Евро,EUR,1,90.1006
2021-05-21,Евро,EUR,1,89.7708
2021-05-22,Евро,EUR,1,89.9446
2021-05-25,Евро,EUR,1,89.6877
2021-05-26,Евро,EUR,1,89.9545
2021-05-27,Евро,EUR,1,89.9392
2021-05-28,Евро,EUR,1,89.6555
2021-05-29,Евро,EUR,1,89.6731
2021-06-01,Евро,EUR,1,89.3778
2021-06-02,Евро,EUR,1,89.5958
2021-06-03,Евро,EUR,1,89.6895
2021-06-04,Евро,EUR,1,89.2644
2021-06-05,Евро,EUR,1,88.7545
2021-06-08,Евро,EUR,1,88.653
2021-06-09,Евро,EUR,1,88.6433
2021-06-10,Евро,EUR,1,87.8114
2021-06-11,Евро,EUR,1,87.8065
2021-06-12,Евро,EUR,1,87.3274
2021-06-16,Евро,EUR,1,87.211
2021-06-17,Евро,EUR,1,87.3536
2021-06-18,Евро,EUR,1,86.7012
2021-06-19,Евро,EUR,1,85.9943
2021-06-22,Евро,EUR,1,86.8942
2021-06-23,Евро,EUR,1,87.0677
2021-06-24,Евро,EUR,1,86.7137
2021-06-25,Евро,EUR,1,86.3283
2021-06-26,Евро,EUR,1,86.1919
2021-06-29,Евро,EUR,1,86.1657
2021-06-30,Евро,EUR,1,86.2026
2021-07-01,Евро,EUR,1,86.5118
2021-07-02,Евро,EUR,1,86.4113
2021-07-03,Евро,EUR,1,87.0748
2021-07-06,Евро,EUR,1,87.0272
2021-07-07,Евро,EUR,1,87.0034
2021-07-08,Евро,EUR,1,87.5588
2021-07-09,Евро,EUR,1,88.7755
2021-07-10,Евро,EUR,1,88.1397
2021-07-13,Евро,EUR,1,88.605
2021-07-14,Евро,EUR,1,87.782
2021-07-15,Евро,EUR,1,87.3917
2021-07-16,Евро,EUR,1,87.8316
2021-07-17,Евро,EUR,1,87.5673
2021-07-20,Евро,EUR,1,87.6097
2021-07-21,Евро,EUR,1,87.7727
2021-07-22,Евро,EUR,1,87.5983
2021-07-23,Евро,EUR,1,86.9227
2021-07-24,Евро,EUR,1,86.8451
2021-07-27,Евро,EUR,1,87.3171
2021-07-28,Евро,EUR,1,86.9919
2021-07-29,Евро,EUR,1,86.9173
2021-07-30,Евро,EUR,1,86.8624
2021-07-31,Евро,EUR,1,86.9913
2021-08-03,Евро,EUR,1,86.7717
2021-08-04,Евро,EUR,1,86.5578
2021-08-05,Евро,EUR,1,86.4112
2021-08-06,Евро,EUR,1,86.6529
2021-08-07,Евро,EUR,1,86.4621
2021-08-10,Евро,EUR,1,86.4378
2021-08-11,Евро,EUR,1,86.3578
2021-08-12,Евро,EUR,1,86.6257
2021-08-13,Евро,EUR,1,86.3457
2021-08-14,Евро,EUR,1,86.2195
2021-08-17,Евро,EUR,1,86.5072
2021-08-18,Евро,EUR,1,86.4804
2021-08-19,Евро,EUR,1,86.121
2021-08-20,Евро,EUR,1,86.615
2021-08-21,Евро,EUR,1,86.8646
2021-08-24,Евро,EUR,1,86.7838
2021-08-25,Евро,EUR,1,86.8058
2021-08-26,Евро,EUR,1,86.5814
2021-08-27,Евро,EUR,1,87.0576
2021-08-28,Евро,EUR,1,87.0304
2021-08-31,Евро,EUR,1,86.8104
2021-09-01,Евро,EUR,1,86.666
2021-09-02,Евро,EUR,1,86.3949
2021-09-03,Евро,EUR,1,86.297
2021-09-04,Евро,EUR,1,86.5366
2021-09-07,Евро,EUR,1,86.5743
2021-09-08,Евро,EUR,1,86.8922
2021-09-09,Евро,EUR,1,86.9114
2021-09-10,Евро,EUR,1,86.4677
2021-09-11,Евро,EUR,1,86.1478
2021-09-14,Евро,EUR,1,86.115
2021-09-15,Евро,EUR,1,85.988
2021-09-16,Евро,EUR,1,86.0674
2021-09-17,Евро,EUR,1,85.3622
2021-09-18,Евро,EUR,1,85.4614
2021-09-21,Евро,EUR,1,85.8785
2021-09-22,Евро,EUR,1,85.8568
2021-09-23,Евро,EUR,1,85.4889
2021-09-24,Евро,EUR,1,85.204
2021-09-25,Евро,EUR,1,85.6823
2021-09-28,Евро,EUR,1,85.0355
2021-09-29,Евро,EUR,1,84.6752
2021-09-30,Евро,EUR,1,84.8755
2021-10-01,Евро,EUR,1,84.305
2021-10-02,Евро,EUR,1,84.4577
2021-10-05,Евро,EUR,1,84.6355
2021-10-06,Евро,EUR,1,84.1723
2021-10-07,Евро,EUR,1,83.9251
2021-10-08,Евро,EUR,1,83.6053
2021-10-09,Евро,EUR,1,83.1248
2021-10-12,Евро,EUR,1,82.9273
2021-10-13,Евро,EUR,1,83.0934
2021-10-14,Евро,EUR,1,83.0028
2021-10-15,Евро,EUR,1,83.3347
2021-10-16,Евро,EUR,1,82.7276
2021-10-19,Евро,EUR,1,82.4592
2021-10-20,Евро,EUR,1,82.6841
2021-10-21,Евро,EUR,1,82.6162
2021-10-22,Евро,EUR,1,82.6399
2021-10-23,Евро,EUR,1,82.4979
2021-10-26,Евро,EUR,1,81.7418
2021-10-27,Евро,EUR,1,80.7019
2021-10-28,Евро,EUR,1,81.0289
2021-10-29,Евро,EUR,1,81.8393
2021-10-30,Евро,EUR,1,82.2898
2021-11-02,Евро,EUR,1,82.1687
2021-11-03,Евро,EUR,1,82.9577
2021-11-04,Евро,EUR,1,82.8112
2021-11-09,Евро,EUR,1,82.5355
2021-11-10,Евро,EUR,1,82.6497
2021-11-11,Евро,EUR,1,81.787
2021-11-12,Евро,EUR,1,81.6552
2021-11-13,Евро,EUR,1,82.2173
2021-11-16,Евро,EUR,1,82.7736
2021-11-17,Евро,EUR,1,82.5244
2021-11-18,Евро,EUR,1,82.3553
2021-11-19,Евро,EUR,1,82.2583
2021-11-20,Евро,EUR,1,82.5845
2021-11-23,Евро,EUR,1,82.7715
2021-11-24,Евро,EUR,1,84.1718
2021-11-25,Евро,EUR,1,83.6394
2021-11-26,Евро,EUR,1,83.6793
2021-11-27,Евро,EUR,1,84.9526
2021-11-30,Евро,EUR,1,84.482
2021-12-01,Евро,EUR,1,84.8234
2021-12-02,Евро,EUR,1,83.8354
2021-12-03,Евро,EUR,1,83.8105
2021-12-04,Евро,EUR,1,83.2406
2021-12-07,Евро,EUR,1,83.1138
2021-12-08,Евро,EUR,1,83.7114
2021-12-09,Евро,EUR,1,83.364
2021-12-10,Евро,EUR,1,83.3444
2021-12-11,Евро,EUR,1,83.1158
2021-12-14,Евро,EUR,1,82.866
2021-12-15,Евро,EUR,1,82.8299
2021-12-16,Евро,EUR,1,83.2375
2021-12-17,Евро,EUR,1,83.1571
2021-12-18,Евро,EUR,1,83.5026
2021-12-21,Евро,EUR,1,83.6187
2021-12-22,Евро,EUR,1,83.3213
2021-12-23,Евро,EUR,1,83.1541
2021-12-24,Евро,EUR,1,83.1223
2021-12-25,Евро,EUR,1,82.93
2021-12-28,Евро,EUR,1,82.9363
2021-12-29,Евро,EUR,1,83.2194
2021-12-30,Евро,EUR,1,83.204
2021-12-31,Евро,EUR,1,84.0695
2022-01-11,Евро,EUR,1,85.1315
2022-01-12,Евро,EUR,1,84.8784
2022-01-13,Евро,EUR,1,84.6709
2022-01-14,Евро,EUR,1,85.4556
2022-01-15,Евро,EUR,1,86.8894
2022-01-18,Евро,EUR,1,86.8609
2022-01-19,Евро,EUR,1,87.0216
2022-01-20,Евро,EUR,1,87.1318
2022-01-21,Евро,EUR,1,86.8215
2022-01-22,Евро,EUR,1,86.9054
2022-01-25,Евро,EUR,1,87.5925
2022-01-26,Евро,EUR,1,88.9286
2022-01-27,Евро,EUR,1,89.1511
2022-01-28,Евро,EUR,1,88.468
2022-01-29,Евро,EUR,1,86.6419
2022-02-01,Евро,EUR,1,86.5032
2022-02-02,Евро,EUR,1,86.7869
2022-02-03,Евро,EUR,1,86.2826
2022-02-04,Евро,EUR,1,86.561
2022-02-05,Евро,EUR,1,87.1163
2022-02-08,Евро,EUR,1,86.5181
2022-02-09,Евро,EUR,1,85.892
2022-02-10,Евро,EUR,1,85.3784
